This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -122.34, 28.62, -59.41, 46.567Starting at this date and time  Mon Nov 07 2016 20:32:26 GMT-0500 (Eastern Standard Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"18Mauricioo","Marijuana Monday","Tue Nov 08 01:32:25 +0000 2016","United States","null","New Hampshire, USA"
"collins3779","These needs definitely buried the #Sanvers lead for this week. None of us were expecting anything but WE'RE GETTING EVERYTHING! #QueerEl","Tue Nov 08 01:32:25 +0000 2016","Nashville, TN","null","Nashville, TN"
"Cheliiii_","TONIGHTS sunset 🌅😍✨‼️","Tue Nov 08 01:32:25 +0000 2016","Bay Area ","null","Union City, CA"
"TMHs2ndChild","https://t.co/IhaYjzn4qo","Tue Nov 08 01:32:25 +0000 2016","Judea","null","Louisville, KY"
"Ja__sh","https://t.co/dAMfbeta2w","Tue Nov 08 01:32:25 +0000 2016","Houston, TX","null","Atascocita, TX"
"TjMavs","That's Marco The Phoenix from One Piece https://t.co/erldfPOnZh","Tue Nov 08 01:32:25 +0000 2016","Pascagoula, Ms","null","Pascagoula, MS"
"TracewolfCuzz","@maxwilliams_4 lol just don't tell my moms she's had enough of my shit I guess","Tue Nov 08 01:32:25 +0000 2016","null","null","Newark, OH"
"paigetruehart6","There is no other group of girls I'd rather spend so much time with, I love you guys so much❤️❤️🏐","Tue Nov 08 01:32:25 +0000 2016","Athol, MA","null","Athol, MA"
"Bella_Tha_Boss","😩😩😩😩😩😩😩🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/2Q2GKpsb05","Tue Nov 08 01:32:25 +0000 2016","UNC Charlotte by way of Harlem","null","Charlotte, NC"
"_daisy418","The amount of times that Kathy and Cynthia have missed their flights is insane","Tue Nov 08 01:32:25 +0000 2016","null","null","Providence, RI"
"LaFemmeDivina","That feeling you had as a young girl when you were crushing hard on your brother's friend. Yeah, that doesn't go away. 💜","Tue Nov 08 01:32:25 +0000 2016","Blissdom, well...Detroit","null","Detroit, MI"
"JxshEvton","@shellelargo I like your perspective.. I agree with most of what you're saying but ya we all strange lol 👽","Tue Nov 08 01:32:25 +0000 2016","Lawrence, Kansas","null","Kansas, USA"
"Stu_Mundel","@ClaireTVnews does Newspath have a Twitter?? Love those guys!!!","Tue Nov 08 01:32:25 +0000 2016","Palmdale, CA","null","Agoura Hills, CA"
"Gaviriamelisa28","Lloro.","Tue Nov 08 01:32:25 +0000 2016","Ocala, FL","null","Ocala, FL"
"cynthia_smigal","i hate manchester so much i never want to go back","Tue Nov 08 01:32:25 +0000 2016","null","null","Virginia, USA"
"Catholicisourco","RT I'm with her!                                          #Catholics in #Pennsylvania #Ohio #Florida #Virginia… https://t.co/IjntXNKG4V","Tue Nov 08 01:32:25 +0000 2016","Lehigh Valley, PA","null","Pennsylvania, USA"
"80kMichael","Cowboys dumb trash at anything 😭😂😂 https://t.co/KkiVqhFN9g","Tue Nov 08 01:32:25 +0000 2016","NY/TX","null","Plano, TX"
"macariawashere","Is it normal to smell pushpops even though there are none around and crave them super bad","Tue Nov 08 01:32:26 +0000 2016","null","null","Irvine, CA"
"ZelinaMPames","No school tomorrow. It's Election Day &amp; Parent Teacher Conferences from 12-7:45 pm. #mustangpride","Tue Nov 08 01:32:26 +0000 2016","Maple Heights, Ohio","null","Maple Heights, OH"
"okanogan19","2spirit anecdote #721 being cut off as I centre 2spirit  pedagogies (can't hide who I am) by heterosexual colleague tt say they do 2 spirit","Tue Nov 08 01:32:26 +0000 2016","a guest on the MNC, Tkaronto","null","Toronto, Ontario"
"_whoiskitty","@junkieambz you already know😘💕","Tue Nov 08 01:32:26 +0000 2016","null","null","Dallas, TX"
"halchristinee","my moms bfs kid is walking around naked shaking his lil thing all over the place","Tue Nov 08 01:32:26 +0000 2016","null","null","Joliet, IL"
"SiCarswell","Pence to NH supporters: "Vote. Bring a friend. Friends don't let friends vote. Pack a lunch."","Tue Nov 08 01:32:26 +0000 2016","Washington DC","null","Manchester, NH"
"Mr_Incroyable","You know how I said no regrets. I take that back.","Tue Nov 08 01:32:26 +0000 2016","Chicago, IL","null","Burnham, IL"
"rneery","@GuneevSharma sorry Guneev. MY BAD.","Tue Nov 08 01:32:26 +0000 2016","15 Yemen Road, Yemen","null","Conway, AR"
"samgot_thajuice","Yea tf rd, the same energy she used to break my car will be the same energy she will use to pay me back😴💯 https://t.co/S6j9vAj7yp","Tue Nov 08 01:32:26 +0000 2016","null","null","Lanham, MD"
"TheresOnlyWun","Tomorrow night pop up vault_lounge #TruthTuesdays as we vibe out... #TheresOnlyWun #FullTILT… https://t.co/aR0HY8gV2j","Tue Nov 08 01:32:26 +0000 2016","Ocean State|New England","[object Object]","Providence, RI"
"GrumblyMumbly","The mob? Which mob are you referring to? https://t.co/EAVobqGUVc","Tue Nov 08 01:32:26 +0000 2016","Meowtown, Tennessee","null","Algood, TN"
"JoeyLoMonaco","Tigers open up an 11-5 advantage in the fourth set.","Tue Nov 08 01:32:26 +0000 2016","Fredericksburg, VA","null","Virginia, USA"
"maddeelliott","nothing i miss more then seeing @maddy_labuda everyday","Tue Nov 08 01:32:26 +0000 2016","null","null","Lockport, IL"
"_missmoesha","😂😂😂 https://t.co/swv9tgCnb9","Tue Nov 08 01:32:26 +0000 2016","your moms house","null","West Covina, CA"
"n_oram","@kathleenparker @danlundquist @ianbremmer @MJGerson FBI Agents Are Now Talking, Say Comey ‘Stood In The Way’ Of Clinton Email Investigation","Tue Nov 08 01:32:26 +0000 2016","Sarasota FL","null","Florida, USA"
"TyWinmill10","All the feels, this set was so great😭 @gabesilvaz159 @MookieWinmill @winmill_13 https://t.co/gGC7LixYfF","Tue Nov 08 01:32:26 +0000 2016","null","null","Burley, ID"
"tsarah969","@Cheysexybutt I quit https://t.co/RUQXAthkmT","Tue Nov 08 01:32:26 +0000 2016","Somewhere","null","Bellevue, IL"
"msladycoco","I love him....Bruce. @MSNBC","Tue Nov 08 01:32:26 +0000 2016","Morrisville, NC","null","Morrisville, NC"
"Oscarin_95","🙌🏼 https://t.co/uBTKwCUe2h","Tue Nov 08 01:32:26 +0000 2016","chillin","null","North Las Vegas, NV"
"bethany_mchenry","I wish my work didn't have the dankest food in town so I could lose weight","Tue Nov 08 01:32:26 +0000 2016","Williamsville, NY","null","Amherst, NY"
"driller1949","@JaniceTXBlessed @MAGA_1958 The 15th Amendment states that US "citizens" have the right to vote. They key word citizens. Illegals are not","Tue Nov 08 01:32:26 +0000 2016","Texas","null","Lampasas, TX"
"marcellomusic","Like I be gone","Tue Nov 08 01:32:26 +0000 2016","music worldwide","null","Queens, NY"
"chillw_thevirgo","Took 6 months to get the Maybach all matted out and my assistant crashed it soon as they backed it out https://t.co/hU0kEwel0w","Tue Nov 08 01:32:26 +0000 2016","null","null","Indiana, USA"
"_trippplea","@JohnMiddlekauff have you seen the ratings for last nights game??","Tue Nov 08 01:32:26 +0000 2016","West Coast ","null","California, USA"
"UrbanNoize","You met your match in Isabelle Cobblepot, you met your match. Got Penguin shook. #Gotham @Gotham https://t.co/8enOMKl2Xj","Tue Nov 08 01:32:26 +0000 2016","Miami","null","Florida, USA"
"__Cherricaaa","Ugh 🙄🙄","Tue Nov 08 01:32:26 +0000 2016","null","null","Barnesville, GA"
"Dreas2016","Knowledge brother https://t.co/fFUtd0je4O","Tue Nov 08 01:32:26 +0000 2016","the field ","null","Florida, USA"
"KingSanders_21","Won't @ tho👀 https://t.co/IDjgtculqm","Tue Nov 08 01:32:26 +0000 2016","null","null","Tallmadge, OH"
"happykidselman","My layout was self made bbgs","Tue Nov 08 01:32:26 +0000 2016","larissa | asia  | oenis","null","Chicago, IL"
"BowlingJD","@NoamDar making his @WWE debut!! @WhatCulturePW produces amazing talent! So excited","Tue Nov 08 01:32:26 +0000 2016","Toronto, Ontario","null","Toronto, Ontario"
"leahhcraig","Fellas- please just buy your lady that princess cut promise ring that's only 20 bucks so I don't have to see it in ma damn timeline no mo","Tue Nov 08 01:32:26 +0000 2016","Ontario, Canada ","null","Ottawa, Ontario"
"brianaalyssa","freakin' love this man https://t.co/Jyg09fIaKf","Tue Nov 08 01:32:26 +0000 2016","null","null","San Antonio, TX"
"RIP_CCstar","@heyyobobby @LukeBryanSucks I'm gunna make a group for people who tweet trash opinions like this so y'all can all fuck off and die","Tue Nov 08 01:32:26 +0000 2016","Dallas, TX","null","Lakeland Heights, TX"
"BHager66","Apparently I have been blocked by Curt Schilling for laughing at his political aspirations.  Too funny","Tue Nov 08 01:32:26 +0000 2016","Gibsonia, PA","null","Pennsylvania, USA"
"onebitternigger","@PUBLISHRRR anyway u could transfer that $30 rn? or pay sam n get him 2 do it. im in ktown and dont speak korean","Tue Nov 08 01:32:26 +0000 2016","Los Angeles, CA","null","Los Angeles, CA"
"TylerJFrye","@iamirishdave @krbe bhaaha goals right there.","Tue Nov 08 01:32:26 +0000 2016","Houston, TX","null","Houston, TX"
"goldenboy_tim","Rockets https://t.co/Jhqi4FnDxJ","Tue Nov 08 01:32:26 +0000 2016","Humble, Texas","null","Atascocita, TX"
"brettrosto","@ZekeBaez https://t.co/YSE76xOssx","Tue Nov 08 01:32:26 +0000 2016","Oklahoma City, OK","null","Oklahoma City, OK"
"katielopezzz","@HotelBooks I’ve always dreamt of sending you to Russia","Tue Nov 08 01:32:26 +0000 2016","Porterville, CA","null","Porterville, CA"
"minsandraallen","@NBCTheVoice # the Voice Austin","Tue Nov 08 01:32:26 +0000 2016","Texas","null","Lakeland Heights, TX"
"22_Jman","Hillary can't control her own email account but y'all want out her in charge of a country https://t.co/9ia1UxasOG","Tue Nov 08 01:32:26 +0000 2016","Georgia","null","Georgia, USA"
"alexasbellas","4HW COULD NEVER 🗣 https://t.co/8Cl6wXxRQ2","Tue Nov 08 01:32:26 +0000 2016","null","null","Chicago, IL"
"megan_dukes","@FlFootballFan yes, of course!!!","Tue Nov 08 01:32:26 +0000 2016","probably petting your dog","null","Florida, USA"
"m0mentring","@magnoliawater yeah it’s…mildly depressing
i wish i could shift my sleep schedule backwards like 10 hours","Tue Nov 08 01:32:26 +0000 2016","Link Loop Land","null","Bedford Park, Bronx"
"J_Aguirre13","@DestanyCuster @watthahellll no i'm not helping its a surprise !!!😡😡","Tue Nov 08 01:32:27 +0000 2016","Diboll, TX","null","Diboll, TX"
"voterstampede","Forget the corruption crimes lies and perversions. Hillary offers 100 yr old Marxist pablum &amp; Trump offers vibrant ideas. Case closed.","Tue Nov 08 01:32:26 +0000 2016","New Jersey","null","Middletown, NJ"
"alexandrinaa_","You pass a store in the mall and your phone picks it up so you start seeing ads for that store and now you sick cause you wanna buy. 🙃🙃🙃","Tue Nov 08 01:32:26 +0000 2016","Antigua and Barbuda","null","Toronto, Ontario"
"unlewis","I want #Hillary, in the limo on the way back from the inauguration, to call Comey and tell him GTHOH... #inners
https://t.co/lZ8YhUEyiV","Tue Nov 08 01:32:27 +0000 2016","null","null","Denver, CO"
"Lorri66803314","If your into abortion Week before birth I have a major problem! Doctors can say why before due date if baby or mother is in danger! Think!","Tue Nov 08 01:32:27 +0000 2016","Medina, OH","null","Medina, OH"
"CeceSoFabulous","It's fucked up when you really been loyal to a person and you find out they've been doing them the whole time.","Tue Nov 08 01:32:27 +0000 2016","Chicago, IL","null","Jefferson City, MO"
"shammyyyshamm","@kristyanne_t so close KA. So close https://t.co/di3ZGqOna9","Tue Nov 08 01:32:27 +0000 2016","Disneyland","null","Pasadena, CA"
"shaadoww_","Straight On that  https://t.co/aFUUaNxBqs","Tue Nov 08 01:32:26 +0000 2016","Village⚜","null","Marrero, LA"
"23aaaaf619fc4a7","@roycan79 @S_Cooper0404 @23aaaaf619fc4a7 MN 
The Voters aren't that STUPID, but liberal's are https://t.co/krF67o81E0","Tue Nov 08 01:32:26 +0000 2016","null","null","Affton, MO"
"BornKing93","I'm gone get mine.","Tue Nov 08 01:32:27 +0000 2016","The Great State of Mind.","null","Hattiesburg, MS"
"NotHollyMacie","Lol when people think that a hedgehogs double chin roll in their smile 😂 https://t.co/ZS2caQswCx","Tue Nov 08 01:32:27 +0000 2016","north bay","null","North Bay, Ontario"
"AHRicci","Despite it all, I'm glad I live in a country where I have the opportunity to vote.","Tue Nov 08 01:32:27 +0000 2016","Greenville, SC","null","Greenville, SC"
"KaylaMcFoofoo","@yo_its_madss @alexislarreaaa @moose_333 hope ya feel better tho!😊","Tue Nov 08 01:32:27 +0000 2016","null","null","Illinois, USA"
"kaylie_schotter","Unfortunately, this big guy is having trouble walking again😓 fingers crossed for no bad news at the vet tomorrow https://t.co/QueEJOExX8","Tue Nov 08 01:32:26 +0000 2016","null","null","Bartlett, TN"
"pattytraytray","@djmarley303 @faketimmurray  Oops, I meant smoke 6 blunts.","Tue Nov 08 01:32:27 +0000 2016","Buffalo - An All-America City","null","Buffalo, NY"
"Eliezercont","Me and @mariaavelarj always talking the bs about somebody/something 😂😂😂","Tue Nov 08 01:32:27 +0000 2016","null","null","West New York, NJ"
"apseyez_","@t_drummond33 @karrah_jo Tris when were you gonna tell me you had another kid?","Tue Nov 08 01:32:27 +0000 2016","Florida, USA","null","Florida, USA"
"MakennaLl","You deserve it https://t.co/agO2OdqJ4f","Tue Nov 08 01:32:27 +0000 2016","Texas","null","Borger, TX"
"marisa91752","@annie_gronotte happy birthday!! 💜💜","Tue Nov 08 01:32:27 +0000 2016","null","null","Crescent Springs, KY"
"morganpariss_","@livvpap thank u!","Tue Nov 08 01:32:27 +0000 2016","null","null","Franklinville, NJ"
"IAmKevSantana","Love &amp; Hip Hop REUNIONS needa be more like BGC REUNIONS","Tue Nov 08 01:32:27 +0000 2016","New, Orleans ","null","Chalmette, LA"
"carbajaljared7","@Flight23White yo flight, you should do a reacting video on @RiceGum new video called "Mailed my self in a box" https://t.co/7Kw7kHhxVj","Tue Nov 08 01:32:27 +0000 2016","Nipomo, CA","null","Nipomo, CA"
"SigalSharf","The Boss is the best. Making us all dance in the dark. #brucespringsteen","Tue Nov 08 01:32:27 +0000 2016","United States","null","Placentia, CA"
"DouglasPlease","@JacobWysocki can you pick me up in Michigan beforehand?","Tue Nov 08 01:32:27 +0000 2016","Saginaw","null","Detroit, MI"
